selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,fallback_max_per_sector,fallback_min_composite,fallback_min_up_prob,fallback_risk_margin,fallback_block_ratio,weighted_score
29,27,0.25925925925925924,0.0006732781296350819,0.0006732781296350819,-0.0012368583797154331,7,16,20,0.18,0.48,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2557575389944461
29,27,0.25925925925925924,0.0006732781296350819,0.0006732781296350819,-0.0012368583797154331,7,16,20,0.18,0.48,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2557575389944461
29,27,0.25925925925925924,0.0006732781296350819,0.0006732781296350819,-0.0012368583797154331,7,16,20,0.18,0.48,0.45,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2557575389944461
29,27,0.25925925925925924,0.0006732781296350819,0.0006732781296350819,-0.0012368583797154331,7,16,20,0.18,0.48,0.45,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.2557575389944461
29,27,0.25925925925925924,0.0006732781296350819,0.0006732781296350819,-0.0012368583797154331,7,16,20,0.18,0.48,0.45,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.2557575389944461
29,27,0.25925925925925924,0.0006732781296350819,0.0006732781296350819,-0.0012368583797154331,7,16,20,0.18,0.48,0.45,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2557575389944461
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.4,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.4,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.4,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.4,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.45,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.45,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.45,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.48,0.45,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2305333510975473
